# timestamp tx ty tz qx qy qz qw
1777562892.488058 0.896173 0.803956 0.194840 0.019316 -0.069966 0.023794 0.997079
1777562892.566630 0.896181 0.803963 0.194845 0.019294 -0.069930 0.023788 0.997082
1777562892.608305 0.896177 0.803923 0.194816 0.019337 -0.070063 0.023934 0.997068
1777562893.126446 0.896174 0.803917 0.194811 0.019355 -0.070054 0.023899 0.997069
1777562893.136399 0.896171 0.803910 0.194805 0.019380 -0.069847 0.023871 0.997084
1777562893.145475 0.896127 0.803877 0.194760 0.019477 -0.069938 0.023857 0.997076
1777562893.154895 0.896122 0.803893 0.194767 0.019504 -0.070055 0.023861 0.997067
1777562893.163949 0.896141 0.803931 0.194812 0.019377 -0.070086 0.023880 0.997067
1777562893.174509 0.896185 0.803947 0.194854 0.019329 -0.070038 0.023842 0.997072
1777562893.190623 0.896171 0.803895 0.194789 0.019428 -0.070017 0.023879 0.997071
1777562893.203828 0.896154 0.803884 0.194777 0.019567 -0.070022 0.023852 0.997068
1777562893.209370 0.896170 0.803915 0.194804 0.019436 -0.070063 0.023881 0.997067
1777562893.230186 0.896156 0.803916 0.194808 0.019271 -0.070015 0.023957 0.997072
1777562893.274001 0.896197 0.803900 0.194813 0.019344 -0.069990 0.024010 0.997071
1777562893.520689 0.896160 0.803875 0.194769 0.019562 -0.070075 0.023951 0.997062
1777562893.530137 0.896149 0.803881 0.194766 0.019435 -0.069894 0.023895 0.997079
1777562893.541215 0.896154 0.803913 0.194779 0.019407 -0.070027 0.023960 0.997068
1777562893.566129 0.896164 0.803919 0.194828 0.019228 -0.069899 0.023987 0.997080
1777562893.588103 0.896197 0.803902 0.194811 0.019360 -0.069879 0.023941 0.997080
1777562893.596467 0.896141 0.803872 0.194770 0.019409 -0.070091 0.024038 0.997062
1777562893.626081 0.896174 0.803933 0.194847 0.019249 -0.069855 0.023887 0.997085
1777562893.630840 0.896174 0.803921 0.194825 0.019280 -0.069796 0.023922 0.997088
1777562893.658852 0.896163 0.803911 0.194809 0.019486 -0.069860 0.023879 0.997081
1777562893.678239 0.896168 0.803944 0.194853 0.019320 -0.069738 0.023869 0.997093
1777562893.719693 0.896185 0.803925 0.194844 0.019293 -0.069781 0.023939 0.997088
1777562893.846508 0.896186 0.803927 0.194844 0.019276 -0.069803 0.023943 0.997087
1777562893.865827 0.896165 0.803898 0.194806 0.019249 -0.069736 0.023903 0.997093
1777562893.871732 0.896150 0.803899 0.194791 0.019313 -0.069866 0.023927 0.997082
1777562893.881161 0.896186 0.803950 0.194851 0.019166 -0.069918 0.023886 0.997083
1777562893.893944 0.896180 0.803934 0.194842 0.019165 -0.069940 0.023947 0.997080
1777562893.940382 0.896173 0.803905 0.194808 0.019447 -0.069761 0.023810 0.997090
1777562894.703162 0.896161 0.803891 0.194796 0.019499 -0.069947 0.023899 0.997074
1777562894.711405 0.896139 0.803889 0.194790 0.019435 -0.069981 0.023875 0.997073
1777562894.719398 0.896143 0.803912 0.194803 0.019286 -0.070053 0.023918 0.997070
1777562894.731316 0.896189 0.803962 0.194857 0.019131 -0.069816 0.023862 0.997091
1777562894.756304 0.896169 0.803871 0.194779 0.019351 -0.069770 0.023839 0.997091
1777562894.763771 0.896202 0.803933 0.194827 0.019177 -0.069744 0.023801 0.997097
1777562894.776428 0.896142 0.803899 0.194797 0.019238 -0.069845 0.023854 0.997087
1777562894.802515 0.896199 0.803961 0.194860 0.019187 -0.069781 0.023792 0.997094
1777562894.819670 0.896181 0.803883 0.194801 0.019422 -0.070009 0.023862 0.997072
1777562894.828138 0.896151 0.803905 0.194806 0.019371 -0.069862 0.023745 0.997086
1777562894.837912 0.896178 0.803923 0.194834 0.019266 -0.069944 0.023778 0.997081
1777562894.875740 0.896189 0.803896 0.194830 0.019360 -0.069746 0.023851 0.997092
1777562895.929447 0.896206 0.803892 0.194824 0.019286 -0.069706 0.023864 0.997096
1777562895.937694 0.896180 0.803864 0.194787 0.019434 -0.069891 0.023857 0.997080
1777562895.947011 0.896145 0.803874 0.194768 0.019434 -0.069917 0.023839 0.997079
1777562895.959489 0.896160 0.803908 0.194813 0.019339 -0.069855 0.023814 0.997085
1777562895.980300 0.896184 0.803893 0.194811 0.019450 -0.069752 0.023826 0.997090
1777562896.002752 0.896196 0.803890 0.194797 0.019385 -0.069900 0.023883 0.997080
1777562896.028875 0.896188 0.803918 0.194836 0.019305 -0.069882 0.023881 0.997083
1777562896.036498 0.896231 0.803914 0.194835 0.019212 -0.069843 0.023894 0.997087
1777562896.045605 0.896196 0.803895 0.194787 0.019282 -0.069809 0.023851 0.997089
1777562896.054228 0.896195 0.803902 0.194786 0.019320 -0.069801 0.023810 0.997090
1777562896.112634 0.896190 0.803907 0.194795 0.019408 -0.069909 0.023801 0.997081
