# timestamp tx ty tz qx qy qz qw
1777473694.026244 -0.530462 0.306438 0.186028 0.037441 0.011002 -0.028322 0.998837
1777473694.027478 -0.530467 0.306439 0.186027 0.037423 0.010966 -0.028314 0.998838
1777473694.028681 -0.530464 0.306433 0.186031 0.037437 0.010972 -0.028290 0.998838
1777473694.029757 -0.530469 0.306421 0.186024 0.037421 0.011025 -0.028335 0.998837
1777473694.035936 -0.530471 0.306413 0.186027 0.037428 0.011012 -0.028352 0.998836
1777473694.036774 -0.530471 0.306398 0.186022 0.037427 0.010979 -0.028301 0.998838
1777473694.037863 -0.530473 0.306396 0.186022 0.037460 0.010985 -0.028344 0.998836
1777473694.039037 -0.530486 0.306390 0.186014 0.037411 0.011057 -0.028312 0.998838
1777473694.040183 -0.530488 0.306386 0.186012 0.037464 0.011063 -0.028331 0.998835
1777473694.041550 -0.530491 0.306385 0.186013 0.037448 0.011081 -0.028338 0.998835
1777473694.042812 -0.530497 0.306387 0.186013 0.037461 0.011060 -0.028365 0.998834
1777473694.043807 -0.530499 0.306393 0.186018 0.037499 0.011019 -0.028324 0.998834
1777473694.044991 -0.530501 0.306393 0.186023 0.037468 0.011014 -0.028330 0.998835
1777473694.046254 -0.530506 0.306400 0.186019 0.037448 0.010997 -0.028356 0.998836
1777473694.056428 -0.530504 0.306395 0.186024 0.037423 0.011026 -0.028325 0.998837
1777473694.057940 -0.530506 0.306393 0.186024 0.037438 0.011012 -0.028341 0.998836
1777473694.059398 -0.530503 0.306389 0.186030 0.037403 0.010993 -0.028338 0.998838
1777473694.060994 -0.530506 0.306383 0.186027 0.037417 0.010977 -0.028319 0.998838
1777473694.064579 -0.530478 0.306446 0.186014 0.037217 0.011010 -0.028307 0.998846
1777473694.067217 -0.530467 0.306449 0.186010 0.037213 0.011026 -0.028312 0.998845
1777473694.068226 -0.530465 0.306447 0.186005 0.037223 0.011033 -0.028310 0.998845
1777473694.068567 -0.530465 0.306449 0.186007 0.037250 0.011069 -0.028311 0.998844
1777473694.069784 -0.530464 0.306449 0.186007 0.037213 0.011112 -0.028321 0.998844
1777473694.070968 -0.530460 0.306451 0.186009 0.037252 0.011063 -0.028322 0.998843
1777473694.076931 -0.530459 0.306452 0.186012 0.037235 0.011072 -0.028325 0.998844
1777473694.078447 -0.530460 0.306452 0.186008 0.037228 0.011085 -0.028306 0.998844
1777473694.079436 -0.530459 0.306447 0.186006 0.037233 0.011089 -0.028309 0.998844
1777473694.080420 -0.530467 0.306434 0.186010 0.037241 0.011056 -0.028340 0.998843
1777473694.082098 -0.530464 0.306427 0.186010 0.037227 0.011061 -0.028346 0.998843
1777473694.083513 -0.530465 0.306413 0.186011 0.037270 0.011086 -0.028288 0.998843
1777473694.089002 -0.530465 0.306414 0.186015 0.037229 0.011086 -0.028305 0.998844
1777473694.090388 -0.530454 0.306417 0.186017 0.037275 0.011060 -0.028303 0.998843
1777473694.091783 -0.530461 0.306416 0.186019 0.037263 0.011064 -0.028302 0.998843
1777473694.092853 -0.530463 0.306426 0.186016 0.037232 0.011040 -0.028329 0.998844
1777473694.097627 -0.530460 0.306413 0.186015 0.037258 0.011013 -0.028303 0.998844
1777473694.099121 -0.530467 0.306403 0.186022 0.037278 0.010959 -0.028337 0.998843
1777473694.100146 -0.530466 0.306394 0.186021 0.037265 0.010967 -0.028355 0.998843
1777473694.101578 -0.530468 0.306387 0.186023 0.037313 0.010950 -0.028328 0.998842
1777473694.102585 -0.530472 0.306393 0.186024 0.037319 0.010923 -0.028371 0.998841
1777473694.103715 -0.530471 0.306393 0.186013 0.037273 0.011014 -0.028332 0.998843
1777473694.104506 -0.530476 0.306399 0.186013 0.037321 0.010994 -0.028324 0.998841
1777473694.105472 -0.530483 0.306400 0.186014 0.037310 0.010963 -0.028338 0.998842
1777473694.106856 -0.530488 0.306399 0.186011 0.037333 0.010961 -0.028362 0.998840
1777473694.108128 -0.530489 0.306405 0.186015 0.037358 0.010925 -0.028339 0.998840
1777473694.118437 -0.530494 0.306409 0.186013 0.037375 0.010928 -0.028336 0.998840
1777473694.120352 -0.530495 0.306412 0.186019 0.037410 0.010978 -0.028348 0.998838
1777473694.121341 -0.530498 0.306412 0.186020 0.037399 0.010987 -0.028330 0.998838
1777473694.122932 -0.530506 0.306412 0.186013 0.037372 0.011041 -0.028328 0.998839
1777473694.124299 -0.530508 0.306405 0.186019 0.037348 0.011021 -0.028357 0.998839
1777473694.125234 -0.530505 0.306394 0.186004 0.037272 0.010945 -0.028332 0.998843
1777473694.126461 -0.530511 0.306399 0.186011 0.037260 0.010978 -0.028372 0.998842
1777473694.127626 -0.530520 0.306399 0.186012 0.037266 0.010948 -0.028352 0.998843
1777473694.128625 -0.530519 0.306402 0.186015 0.037242 0.010939 -0.028349 0.998844
1777473694.129581 -0.530521 0.306404 0.186023 0.037275 0.010986 -0.028390 0.998841
1777473694.136775 -0.530522 0.306411 0.186024 0.037237 0.010990 -0.028367 0.998843
1777473694.138188 -0.530521 0.306417 0.186030 0.037256 0.010947 -0.028357 0.998843
1777473694.139244 -0.530522 0.306428 0.186035 0.037234 0.010943 -0.028343 0.998845
1777473694.140841 -0.530522 0.306434 0.186036 0.037231 0.010932 -0.028382 0.998844
1777473694.141700 -0.530518 0.306430 0.186041 0.037191 0.010966 -0.028328 0.998846
1777473694.142948 -0.530523 0.306427 0.186041 0.037182 0.010961 -0.028370 0.998846
1777473694.144078 -0.530520 0.306426 0.186040 0.037195 0.010968 -0.028361 0.998845
1777473694.145085 -0.530513 0.306424 0.186040 0.037182 0.010961 -0.028369 0.998846
1777473694.146345 -0.530508 0.306432 0.186042 0.037179 0.010956 -0.028351 0.998846
1777473694.151232 -0.530498 0.306445 0.186035 0.037135 0.011039 -0.028318 0.998848
1777473694.158283 -0.530492 0.306448 0.186036 0.037129 0.011015 -0.028292 0.998849
1777473694.159727 -0.530492 0.306458 0.186035 0.037077 0.011012 -0.028319 0.998850
1777473694.161047 -0.530486 0.306454 0.186028 0.037121 0.010999 -0.028296 0.998850
1777473694.163924 -0.530484 0.306448 0.186027 0.037080 0.011027 -0.028330 0.998850
1777473694.164301 -0.530477 0.306444 0.186018 0.037096 0.011048 -0.028328 0.998849
1777473694.165607 -0.530473 0.306442 0.186020 0.037116 0.011063 -0.028307 0.998849
1777473694.166979 -0.530472 0.306449 0.186015 0.037134 0.011044 -0.028321 0.998848
1777473694.168173 -0.530468 0.306459 0.186007 0.037086 0.011125 -0.028259 0.998850
1777473694.169424 -0.530467 0.306463 0.186002 0.037111 0.011131 -0.028257 0.998850
1777473694.170892 -0.530463 0.306474 0.186009 0.037190 0.011175 -0.028292 0.998845
1777473694.176527 -0.530464 0.306471 0.185997 0.037219 0.011161 -0.028293 0.998844
1777473694.177552 -0.530455 0.306468 0.186001 0.037247 0.011136 -0.028337 0.998842
1777473694.178806 -0.530458 0.306472 0.185998 0.037261 0.011166 -0.028341 0.998841
1777473694.179752 -0.530457 0.306468 0.186000 0.037284 0.011209 -0.028309 0.998841
1777473694.185314 -0.530455 0.306463 0.185999 0.037275 0.011215 -0.028309 0.998841
1777473694.186158 -0.530455 0.306456 0.186004 0.037343 0.011153 -0.028355 0.998838
1777473694.187964 -0.530457 0.306448 0.186003 0.037325 0.011177 -0.028374 0.998838
1777473694.189436 -0.530456 0.306433 0.185989 0.037271 0.011111 -0.028302 0.998843
1777473694.190876 -0.530459 0.306431 0.185993 0.037274 0.011149 -0.028363 0.998840
1777473694.192241 -0.530457 0.306427 0.185998 0.037327 0.011072 -0.028372 0.998839
1777473694.197179 -0.530460 0.306424 0.185998 0.037332 0.011084 -0.028377 0.998838
1777473694.198417 -0.530469 0.306418 0.185996 0.037300 0.011084 -0.028322 0.998841
1777473694.199713 -0.530468 0.306419 0.186001 0.037275 0.011098 -0.028339 0.998842
1777473694.201830 -0.530479 0.306424 0.185997 0.037248 0.011134 -0.028265 0.998844
1777473694.203765 -0.530480 0.306419 0.186000 0.037238 0.011117 -0.028286 0.998844
1777473694.205404 -0.530476 0.306431 0.186014 0.037385 0.011193 -0.028354 0.998836
1777473694.207422 -0.530476 0.306421 0.186012 0.037344 0.011177 -0.028304 0.998839
1777473694.208385 -0.530475 0.306407 0.186017 0.037386 0.011143 -0.028373 0.998836
1777473694.209815 -0.530475 0.306401 0.186019 0.037378 0.011153 -0.028371 0.998836
1777473694.210812 -0.530479 0.306374 0.186004 0.037257 0.011071 -0.028269 0.998844
1777473694.220265 -0.530481 0.306382 0.186009 0.037302 0.011061 -0.028305 0.998842
1777473694.221674 -0.530488 0.306385 0.186010 0.037288 0.011065 -0.028237 0.998844
1777473694.223074 -0.530488 0.306388 0.186014 0.037287 0.011044 -0.028225 0.998845
1777473694.224100 -0.530489 0.306393 0.186016 0.037262 0.011058 -0.028262 0.998845
1777473694.225412 -0.530494 0.306385 0.186012 0.037296 0.011028 -0.028257 0.998844
1777473694.227836 -0.530484 0.306375 0.186011 0.037289 0.011033 -0.028313 0.998842
1777473694.227870 -0.530488 0.306371 0.186011 0.037290 0.011026 -0.028300 0.998843
1777473694.229017 -0.530488 0.306371 0.186009 0.037282 0.010995 -0.028309 0.998843
1777473694.229951 -0.530493 0.306377 0.186012 0.037279 0.010981 -0.028334 0.998843
1777473694.231736 -0.530494 0.306380 0.186010 0.037276 0.010985 -0.028311 0.998843
1777473694.239411 -0.530496 0.306388 0.186011 0.037273 0.010963 -0.028293 0.998844
